トーク番号,キャラ名,台詞
1,ゆかり,なんか唐突に２人増えましたね……。
2,茜,うちの言葉は茜ちゃん弁やからな。
3,葵,なんだかんだ私が一番癖がない気がするの
4,茜,この前でっかいタコが寝てる夢見たんよ。あれたこ焼きにしたら何人前やろなぁ……
5,ゆかり,次のスタバの新作何でしたっけ？ どれも美味しそうですよね。
6,葵,雪見だいふく食べたいなあ。
7,茜,電線でくっついてる雀、かわええなあ。
8,ゆかり,作業お疲れ様です、適宜休憩してくださいね。
9,葵,お姉ちゃんで暖取ってると「幸せだな～」って思うの。
10,ゆかり,マカロン、たまに訳ありの沢山はいった奴買おうかって気分になりますよね。
11,茜,ハイエナって犬か猫か迷うよな。猫寄りなんやけど。
12,葵,コツメカワウソの印象を持ったまま、ユーラシアカワウソ見ると大きさにびっくりする。
13,ゆかり,ちょっと眠くなってきました。
14,茜,あかん、セロテープくちゃくちゃになってもうた。
15,葵,えっ、このサイト404になっちゃってる……。
16,ゆかり,おでんも地域色豊かで楽しいですよね。大根はどこでも美味しい。
17,茜,あーおーいー！　ここの攻略法わからへん、調べてー。
18,葵,お姉ちゃんの可愛さは青天井。
19,ゆかり,一面の彼岸花、ちょっと見に行ってみたいですね。
20,茜,庭に鳥小屋、憧れるよなあ。
21,葵,ちょっと待ってお姉ちゃん、その縛り本気でやるの？
22,ゆかり,あっ、あの店の会員証の期限切れてる……。
23,茜,オナガドリって１年に70ｃｍも尻尾伸びるんやって。すごいなあ。
24,葵,三寒四温だか何だか知らないけどエアコンの効いた部屋から極力出たくない。
25,ゆかり,体育の授業のマット、あっても痛いものは痛いですよね。
26,茜,あああああボールペンの線定規で伸びてもうたぁああああああ
27,葵,オーケストラの楽器、たまに変なのあるけど何いても良いのかなあ。
28,ゆかり,「昔ながらの固いプリン」、ふわとろとも違ってこれはまた……
29,茜,カンパチの旬は秋らしいで。商業的な理由らしいけどな。
30,葵,あわわ……ふるさと納税のお肉とお魚、発送時期被っちゃった……。冷凍庫大丈夫かな。
31,ゆかり,場所によってはネットスーパーで野菜買うと新鮮なの選んでくれるらしいですね。
32,茜,お風呂上がりの牛乳、コーヒーかフルーツかイチゴか悩むなあ……
33,葵,焼きそばパン買ってこい、って良く聞くけどなんでなんだろう。不良の主食？
